Date,Henry,Algonquin Citygates,Chicago Citygates,TETCO-M3
2017-08-11,2.96,5.536623375328067,3.046057047250015,2.771847615933574
2017-08-12,2.98,5.594428377920681,3.066539276552542,2.8018698247589584
2017-08-13,3.0,5.652233380513295,3.087021505855069,2.8318920335843427
2017-08-14,3.02,5.71003838310591,3.1075037351575965,2.861914242409728
2017-08-15,2.96,5.536623375328067,3.046057047250015,2.771847615933574
2017-08-16,2.94,5.478818372735451,3.0255748179474873,2.741825407108189
2017-08-17,2.91,5.3921108688465305,2.994851473993697,2.6967920938701124
2017-08-18,2.9,5.3632083675502225,2.984610359342433,2.6817809894574203
2017-08-19,2.933333333333333,5.459550038537913,3.018747408179978,2.7318180041663944
2017-08-20,2.966666666666667,5.555891709525604,3.052884457017524,2.7818550188753695
2017-08-21,3.0,5.652233380513295,3.087021505855069,2.8318920335843427
2017-08-22,3.0,5.652233380513295,3.087021505855069,2.8318920335843427
2017-08-23,2.94,5.478818372735451,3.0255748179474873,2.741825407108189
2017-08-24,2.97,5.565525876624373,3.0562981619012786,2.7868587203462662
2017-08-25,2.93,5.449915871439145,3.015333703296224,2.7268143026954976
2017-08-26,2.936666666666667,5.469184205636684,3.022161113063733,2.736821705637292
2017-08-27,2.9433333333333334,5.488452539834221,3.0289885228312423,2.7468291085790866
2017-08-28,2.95,5.507720874031759,3.0358159325987515,2.756836511520882
2017-08-29,2.95,5.507720874031759,3.0358159325987515,2.756836511520882
2017-08-30,2.95,5.507720874031759,3.0358159325987515,2.756836511520882
2017-08-31,2.92,5.421013370142837,3.00509258864496,2.7118031982828046
2017-09-01,2.88,5.305403364957608,2.9641281300399056,2.651758780632035
2017-09-02,2.88,5.305403364957608,2.9641281300399056,2.651758780632035
2017-09-03,2.88,5.305403364957608,2.9641281300399056,2.651758780632035
2017-09-04,2.88,5.305403364957608,2.9641281300399056,2.651758780632035
2017-09-05,2.88,5.305403364957608,2.9641281300399056,2.651758780632035
2017-09-06,2.98,5.594428377920681,3.066539276552542,2.8018698247589584
2017-09-07,2.92,5.421013370142837,3.00509258864496,2.7118031982828046
2017-09-08,2.88,5.305403364957608,2.9641281300399056,2.651758780632035
2017-09-09,2.88,5.305403364957608,2.9641281300399056,2.651758780632035
2017-09-10,2.88,5.305403364957608,2.9641281300399056,2.651758780632035
2017-09-11,2.88,5.305403364957608,2.9641281300399056,2.651758780632035
2017-09-12,2.88,5.305403364957608,2.9641281300399056,2.651758780632035
2017-09-13,3.02,5.71003838310591,3.1075037351575965,2.861914242409728
2017-09-14,3.03,5.738940884402216,3.11774484980886,2.87692534682242
2017-09-15,3.0,5.652233380513295,3.087021505855069,2.8318920335843427
2017-09-16,3.0366666666666666,5.758209218599755,3.124572259576369,2.8869327497642145
2017-09-17,3.0733333333333333,5.864185056686215,3.162123013297669,2.9419734659440864
2017-09-18,3.11,5.970160894772673,3.1996737670189686,2.997014182123958
2017-09-19,3.18,6.172478403846825,3.2713615695778144,3.102091913012805
2017-09-20,3.13,6.027965897365287,3.220155996321496,3.0270363909493425
2017-09-21,3.11,5.970160894772673,3.1996737670189686,2.997014182123958
2017-09-22,2.93,5.449915871439145,3.015333703296224,2.7268143026954976
2017-09-23,2.94,5.478818372735451,3.0255748179474873,2.741825407108189
2017-09-24,2.95,5.507720874031759,3.0358159325987515,2.756836511520882
2017-09-25,2.96,5.536623375328067,3.046057047250015,2.771847615933574
2017-09-26,2.96,5.536623375328067,3.046057047250015,2.771847615933574
2017-09-27,2.98,5.594428377920681,3.066539276552542,2.8018698247589584
2017-09-28,2.96,5.536623375328067,3.046057047250015,2.771847615933574
2017-09-29,2.94,5.478818372735451,3.0255748179474873,2.741825407108189
2017-09-30,2.94,5.478818372735451,3.0255748179474873,2.741825407108189
2017-10-01,2.94,5.478818372735451,3.0255748179474873,2.741825407108189
2017-10-02,2.94,5.478818372735451,3.0255748179474873,2.741825407108189
2017-10-03,2.73,4.8718658455130015,2.810511410270952,2.426592214441651
2017-10-04,2.8,5.074183354587151,2.882199212829797,2.531669945330497
2017-10-05,2.8,5.074183354587151,2.882199212829797,2.531669945330497
2017-10-06,2.93,5.449915871439145,3.015333703296224,2.7268143026954976
2017-10-07,2.91,5.3921108688465305,2.994851473993697,2.6967920938701124
2017-10-08,2.89,5.334305866253916,2.97436924469117,2.666769885044728
2017-10-09,2.87,5.276500863661302,2.9538870153886423,2.636747676219344
2017-10-10,2.89,5.334305866253916,2.97436924469117,2.666769885044728
2017-10-11,2.89,5.334305866253916,2.97436924469117,2.666769885044728
2017-10-12,2.95,5.507720874031759,3.0358159325987515,2.756836511520882
2017-10-13,2.99,5.623330879216989,3.0767803912038056,2.8168809291716514
2017-10-14,2.95,5.507720874031759,3.0358159325987515,2.756836511520882
2017-10-15,2.91,5.3921108688465305,2.994851473993697,2.6967920938701124
2017-10-16,2.87,5.276500863661302,2.9538870153886423,2.636747676219344
